Title,Description,Price,Categories,ImageUrl
DOOM,"Now includes all three premium DLC packs (Unto the Evil, Hell Followed, and Bloodfall), maps, modes, and weapons, as well as all feature updates including Arcade Mode, Photo Mode, and the latest Update 6.66, which brings further multiplayer improvements as well as revamps multiplayer progression.",19.99,"FPS,Gore,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/379720/header.jpg
PLAYERUNKNOWN'S BATTLEGROUNDS,PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,29.99,"Survival,Shooter,Multiplayer",https://cdn.cloudflare.steamstatic.com/steam/apps/578080/header.jpg
BATTLETECH,"Take command of your own mercenary outfit of 'Mechs and the MechWarriors that pilot them, struggling to stay afloat as you find yourself drawn into a brutal interstellar civil war.",39.99,"Mechs,Strategy,Turn-Based",https://cdn.cloudflare.steamstatic.com/steam/apps/637090/header.jpg
DayZ,"The post-soviet country of Chernarus is struck by an unknown virus, turning the majority population into frenzied infected. Fighting over resources has bred a hostile mentality among survivors, driving what’s left of humanity to collapse. You are one of the few immune to the virus - how far will you go to survive?",44.99,"Survival,Zombies,Open World",https://cdn.cloudflare.steamstatic.com/steam/apps/221100/header.jpg
EVE Online,"EVE Online is a community-driven spaceship MMO where players can play free, choosing their own path from countless options. Experience space exploration, immense PvP and PvE battles, mining, industry and a thriving player economy in an ever-expanding sandbox.",0.00,"Space,Massively Multiplayer,Sci-fi",https://cdn.cloudflare.steamstatic.com/steam/apps/8500/header.jpg
Grand Theft Auto V: Premium Online Edition,Grand Theft Auto V: Premium Online Edition bundle,0.00,NaN,https://picsum.photos/seed/game/400/200
Devil May Cry 5,"The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.",59.99,"Action,Hack and Slash,Great Soundtrack",https://cdn.cloudflare.steamstatic.com/steam/apps/601150/header.jpg
Human: Fall Flat,Human: Fall Flat is a quirky open-ended physics-based puzzle platformer set in floating dreamscapes. Your goal is to find the exit of these surreal levels by solving puzzles with nothing but your wits. Local co-op for 2 players and up to 8 online for even more mayhem!,14.99,"Funny,Multiplayer,Co-op",https://cdn.cloudflare.steamstatic.com/steam/apps/477160/header.jpg
They Are Billions,They Are Billions is a Steampunk strategy game set on a post-apocalyptic planet. Build and defend colonies to survive against the billions of the infected that seek to annihilate the few remaining living humans. Can humanity survive after the zombie apocalypse?,29.99,"Early Access,Base Building,Strategy",https://cdn.cloudflare.steamstatic.com/steam/apps/644930/header.jpg
Warhammer: Chaosbane,"In a world ravaged by war and dominated by magic, you must rise up to face the Chaos hordes. Playing solo or with up to four players in local or online co-op, choose a hero from four character classes and prepare for epic battles wielding some of the most powerful artefacts of the Old World.",49.99,"RPG,Adventure,Hack and Slash",https://cdn.cloudflare.steamstatic.com/steam/apps/774241/header.jpg
For The King,"For The King is a strategic RPG that blends tabletop and roguelike elements in a challenging adventure that spans the realms. Set off on a single player experience or play cooperatively both online and locally. INTO THE DEEP ADVENTURE, NOW AVAILABLE FOR FREE!",19.99,"RPG,Turn-Based Combat,Adventure",https://cdn.cloudflare.steamstatic.com/steam/apps/527230/header.jpg
Danganronpa V3: Killing Harmony,"A new cast of 16 characters find themselves kidnapped and imprisoned in a school. Inside, some will kill, some will die, and some will be punished. Reimagine what you thought high-stakes, fast-paced investigation was as you investigate twisted murder cases and condemn your new friends to death.",39.99,"Story Rich,Anime,Visual Novel",https://cdn.cloudflare.steamstatic.com/steam/apps/567640/header.jpg
TERA,"From En Masse Entertainment, TERA is at the forefront of a new breed of MMO. With True Action Combat - aim, dodge, and time your attacks for intense and rewarding tactical combat. Add the deep social experience of a MMO to best-in-class action combat mechanics for a unique blend of both genres. Play now for free!",0.00,"Free to Play,MMORPG,Massively Multiplayer",https://cdn.cloudflare.steamstatic.com/steam/apps/323370/header.jpg
Call of Duty®: Modern Warfare® Remastered,"One of the most critically-acclaimed games in history, Call of Duty: Modern Warfare is back, remastered in true high-definition, featuring improved textures, physically based rendering, high-dynamic range lighting and much more.",1.02,"FPS,Action,Shooter",https://cdn.cloudflare.steamstatic.com/steam/apps/393080/header.jpg
